0,1,0.592905
37,56,0.896562
78,111,1.19376
118,166,1.55767
170,221,2.10362
225,276,2.66755
281,331,3.05556
335,386,3.18421
389,441,3.54215
444,496,3.94909
660,716,4.12125
822,881,4.16667
3720,3796,4.30912
3775,3851,4.35879
4105,4181,4.46165
4874,4951,4.56949
4929,5006,4.68266
14967,15126,5.12712
15622,15786,5.34452
145953,147401,5.66479
293160,295956,6.0259
3398777,3427601,6.32845
13508043,13622896,6.43617
23629912,23832106,6.54762
39380278,39717426,6.663
45720780,46112441,6.90639
56249904,56730631,7.03488
