0,2,0.900834
57,57,1.30052
113,112,1.74452
168,167,2.2813
223,222,2.66755
279,277,2.95988
334,332,3.08045
388,387,3.13147
497,497,3.15762
550,552,3.18421
604,607,3.35366
659,662,3.57565
715,717,3.94909
769,772,4.16667
1651,1652,4.21309
1977,1982,4.51493
13699,13807,4.56949
17509,17657,4.80159
29658,29922,4.92671
75361,76012,5.12712
152539,154002,5.19759
193345,195197,5.66479
1198489,1210112,6.22428
7528999,7598747,6.43617
9426368,9513462,6.78251
30130920,30412692,7.03488
55410593,55931592,7.45074
