1,1,0.943543
38,56,1.34206
78,111,1.74452
120,166,2.09198
158,221,2.39699
197,276,2.63043
242,331,2.91426
282,386,3.15762
442,661,3.47701
474,716,3.57565
506,771,3.94909
1758,2916,4.51493
9937,14686,4.56949
11895,16666,4.68266
23882,28766,4.74138
23937,28821,4.99175
34780,39766,5.05853
73861,79256,5.12712
109508,115281,5.5
304567,312181,5.58118
351749,359811,5.75095
833651,846616,5.83977
3132983,3168881,6.0259
5014982,5069956,6.32845
11961249,12085206,6.54762
19722960,19923916,6.90639
55945500,56509531,7.03488
55945555,56509586,7.75641
