0,2,1.93167
56,57,2.32335
112,112,2.63043
167,167,3.00696
223,222,3.03106
278,277,3.18421
388,387,3.21125
444,442,3.57565
554,552,3.71622
610,607,3.79073
1319,1322,3.94909
1374,1377,4.12125
2247,2257,4.16667
3077,3082,4.30912
11579,11662,4.40962
11633,11717,4.68266
19112,19307,4.74138
26475,26732,4.80159
27080,27337,5.27003
27135,27392,5.42115
277958,281217,5.58118
519628,525692,5.83977
726234,734637,6.32845
7257911,7341677,6.54762
7364497,7449422,6.78251
12698026,12845087,6.90639
14642875,14812272,7.03488
44141342,44792222,7.16825
