0,2,0.775243
44,57,0.824251
91,112,1.03383
135,167,1.36139
178,222,1.83779
352,442,2.08047
395,497,2.16381
438,552,2.47545
565,717,2.55922
604,772,3.08045
682,882,3.13147
855,1102,3.35366
985,1267,3.68005
1029,1322,3.90827
1072,1377,4.03333
1374,1762,4.35879
1597,2037,4.62538
1654,2092,4.68266
61891,78322,4.86334
65066,82337,5.05853
483095,611602,5.12712
508941,644327,5.34452
4396930,5567047,5.42115
5347884,6771547,5.58118
7079807,8964452,6.12348
30746474,38926087,6.32845
50843242,64366447,6.43617
92396351,116966632,6.90639
