0,2,1.12621
45,57,1.46135
96,112,1.89299
183,222,2.17626
269,332,2.2813
312,387,2.36698
485,607,2.49176
838,1047,2.52504
1011,1267,2.74501
1054,1322,2.8484
1800,2257,2.89197
1887,2367,2.91426
2059,2587,2.93689
2145,2697,3.08045
2323,2917,3.60979
2451,3082,3.71622
2708,3412,3.79073
3958,5007,4.26056
6377,8087,4.30912
22014,27887,4.62538
50008,63307,5.42115
1292139,1638342,5.66479
3962095,5023702,5.75095
9951569,12617002,5.83977
10220312,12957892,6.12348
22789131,28895022,6.32845
29816410,37804307,6.90639
