0,2,1.18627
45,57,1.57061
89,112,2.21449
132,167,2.55922
176,222,2.98323
305,387,3.18421
434,552,3.41422
2593,3302,3.57565
3743,4732,3.94909
3786,4787,3.99077
3830,4842,4.35879
4218,5337,4.51493
14177,17932,4.56949
32450,41032,4.68266
94830,119902,4.80159
95220,120397,4.92671
135829,171767,5.05853
463270,586742,5.19759
484643,613802,5.5
1573076,1992652,5.66479
8636835,10942142,5.75095
9110223,11541642,6.32845
21424138,27143657,6.43617
67509294,85525772,6.54762
108636733,137629472,6.78251
135260325,171359707,6.90639
