0,2,0.953056
45,57,1.08735
89,112,1.21291
133,167,1.66759
176,222,1.93167
395,497,2.24074
439,552,2.64886
483,607,2.6865
527,662,2.91426
570,717,3.05556
662,827,3.10575
891,1102,3.23876
1457,1817,3.50928
2670,3357,3.64458
2717,3412,3.82911
4021,5062,3.90827
4068,5117,3.99077
5206,6547,4.68266
49515,62647,4.86334
192363,243707,4.92671
208943,264717,5.34452
1168228,1478622,5.42115
1187750,1503317,5.93137
9822915,12433687,6.0259
14761722,18685867,6.12348
23250108,29431547,6.32845
44457054,56278367,6.43617
66156358,83743662,6.54762
68019143,86101622,8.84503
