0,2,1.45633
49,53,1.90969
96,104,2.19309
144,155,2.51547
191,206,2.92247
239,257,2.97597
286,308,3.00346
382,410,3.03147
477,512,3.68414
571,614,4.10252
997,1073,4.26393
2042,2195,4.3206
5625,6071,4.56316
23303,25043,4.69495
27158,29174,4.76374
45685,49115,4.83457
54516,58601,4.98276
54611,58703,5.30816
134937,145250,5.39627
135311,145658,5.67904
143612,154634,5.78
499290,537899,5.99309
1204019,1297595,6.47015
1890231,2036432,6.73834
11263742,12139787,6.88095
15137919,16314800,7.02973
55455538,59775419,7.69527
