0,1,1.30967
49,52,1.75506
98,103,2.23838
146,154,2.59581
194,205,2.6167
241,256,2.87086
289,307,2.89644
337,358,3.4496
384,409,3.56301
432,460,4.00154
479,511,4.20874
526,562,4.26393
715,766,4.3206
1934,2092,4.37879
3791,4081,4.43857
6094,6529,4.5
6893,7396,4.56316
10244,11017,4.62811
13800,14893,4.83457
41726,45136,4.98276
49845,53908,5.22289
84010,90883,5.30816
142046,153715,5.58155
436600,472414,5.78
493411,533920,5.99309
1049584,1136128,6.10563
1131671,1224970,6.88095
2492887,2698309,7.02973
19483377,21091306,8.07764
