0,2,0.0280326
267,16,0.57663
341,20,0.675525
603,34,0.741785
641,36,0.813609
678,38,0.970173
750,42,1.1537
861,48,1.305
898,50,1.56412
2334,126,1.59715
2707,146,1.79419
2744,148,1.81138
6329,340,1.84676
6816,366,1.98231
11592,620,2.13932
65943,3524,2.17626
129882,6938,2.21449
140045,7480,2.22754
150323,8028,2.26762
150361,8030,2.61226
939620,50174,2.72523
1163221,62120,2.87002
1828099,97616,2.98323
2463160,131532,3.10575
7743645,413268,3.15762
19060985,1017162,3.26674
44414657,2370078,3.41422
182734338,9750514,3.64458
