0,2,0.0280326
39,4,0.820673
87,6,0.863792
163,10,1.04527
201,12,1.35165
239,14,1.79419
315,18,1.85583
441,24,1.96174
658,36,2.03567
13580,730,2.24074
13618,732,2.26762
83737,4472,2.30916
144392,7708,2.33771
144773,7728,2.36698
144815,7730,2.38189
218173,11646,2.39699
264916,14140,2.47545
608249,32480,2.63043
1067146,56960,2.6865
1501140,80106,2.91426
2154487,114980,3.05556
2965552,158274,3.23876
10387882,554360,3.35366
21076725,1124710,3.38367
21076763,1124712,3.41422
36845422,1966190,3.47701
99011667,5283254,3.68005
144991179,7736766,3.7531
