0,1,1.50798
45,56,1.94159
177,221,2.42777
220,276,2.72523
264,331,2.78545
308,386,2.89197
438,551,3.18421
1443,1816,3.38367
1791,2256,3.50928
1835,2311,3.86829
1922,2421,3.90827
3829,4841,3.94909
3872,4896,4.16667
8651,10946,4.35879
13059,16501,4.51493
20210,25576,4.56949
56453,71446,4.68266
59603,75406,4.99175
347368,439781,5.12712
658590,833526,5.27003
1871217,2368411,5.34452
1871868,2369236,5.66479
3725374,4714711,5.75095
5172615,6545991,5.93137
24141665,30552391,6.22428
31681413,40094836,6.32845
31681791,40095331,6.43617
