0,2,1.14116
36,51,1.49316
72,100,1.72486
107,149,2.00083
142,198,2.29103
177,247,2.58728
247,345,2.83137
283,394,2.85833
386,541,3.19282
664,933,3.22715
699,982,3.37219
734,1031,3.79905
874,1227,3.84776
2741,3824,3.89773
6598,9263,4.2875
6667,9361,4.68945
13670,19259,4.76389
22959,32342,4.84073
26154,36850,5.00208
135053,190416,5.35938
189214,266807,5.55787
1353200,1907768,5.66274
2238791,3156631,6.0025
3648612,5144757,6.38564
4098281,5778866,6.66944
36755127,51813876,6.97965
59202567,83463711,7.14583
59576313,83991000,7.32012
