0,2,0.79436
51,54,1.18805
101,106,1.8221
151,158,2.51301
200,210,2.8766
249,262,3.50259
299,314,3.77654
544,574,3.90751
592,626,4.25157
4997,5306,4.36129
7396,7854,4.53691
15913,16902,4.72727
19030,20230,4.79433
26498,28134,4.93431
33285,35362,5.08271
115389,122566,5.49593
179439,190530,5.68067
264018,280438,5.87826
320511,340498,6.09009
5052617,5367338,6.20183
8383573,8905834,6.31776
11806332,12538814,6.69307
14303703,15189566,6.82828
33037841,35072390,7.11579
46403710,49256898,7.42857
76972790,81701674,7.77011
