0,2,0.478415
49,54,0.64813
98,106,0.88366
147,158,1.19224
197,210,1.46638
247,262,1.8221
296,314,2.37193
343,366,3.03139
393,418,3.50259
443,470,3.53927
542,574,3.77654
592,626,3.90751
691,730,4.09697
790,834,4.4183
4778,5046,4.59864
7723,8166,4.66207
9968,10558,4.86331
10017,10610,5.08271
24648,26106,5.16031
78906,83670,5.24031
168594,178934,5.408
168642,178986,5.49593
344131,365302,5.58678
531495,564358,5.68067
1082552,1149254,5.87826
1594041,1691770,5.9823
1759075,1867062,6.20183
6220302,6603014,6.56311
7092060,7528562,6.69307
19740758,20956002,7.11579
65531014,69553018,7.42857
