0,2,1.21018
45,51,1.57134
90,100,1.98758
133,149,2.42036
177,198,2.60978
221,247,2.80491
265,296,3.00125
309,345,3.19282
352,394,3.22715
396,443,3.44971
440,492,3.75156
659,737,3.89773
834,933,4.22711
1534,1717,4.2875
3031,3383,4.4136
3820,4265,4.61731
4611,5147,5.00208
30658,34204,5.26535
49916,55715,5.55787
263923,294933,5.8848
501462,560366,6.0025
807333,902288,6.2526
807377,902337,6.38564
5106279,5706689,6.66944
5903352,6597215,6.82102
6296049,7036549,7.14583
6803721,7603920,7.50312
61009417,68204376,7.69551
