0,2,1.2973
41,50,1.81132
84,98,2.21538
127,146,2.69159
169,194,2.82353
212,242,2.90909
255,290,3.13043
298,338,3.31034
340,386,3.34884
384,434,3.94521
594,674,4
1848,2114,4.11429
1891,2162,4.29851
2815,3218,4.64516
3237,3698,4.8
3279,3746,5.05263
19262,21986,5.14286
33586,38354,5.23636
128740,146738,5.33333
165666,188930,5.43396
241123,275042,5.87755
1021721,1165538,6
1021763,1165586,6.12766
2135854,2436722,6.26087
3535832,4033730,6.54545
9338724,10651634,6.85714
49957681,56977154,7.02439
57017426,65028914,7.38462
