0,2,0.925623
39,53,1.73632
77,104,2.0942
153,206,2.20798
190,257,2.65951
227,308,2.82104
301,410,3.06
377,512,3.14891
415,563,3.30916
453,614,3.4496
490,665,3.72636
1718,2348,3.76957
2428,3317,3.90541
2916,3980,3.95289
5359,7295,4.10252
5888,8009,4.26393
13895,18923,4.3206
21111,28715,4.62811
81065,110468,4.98276
419329,570743,5.06031
495715,674732,5.22289
583464,794225,5.78
1630022,2220899,5.99309
4889969,6663101,6.10563
5404449,7364453,6.3439
7658416,10436540,7.69527
22232500,30299408,8.07764
