0,2,0.68846
39,53,1.03132
77,104,1.45633
115,155,1.84468
153,206,2.16389
191,257,2.28559
230,308,2.43996
268,359,2.45841
344,461,2.57525
381,512,2.74947
643,869,2.94898
819,1175,3.37792
850,1226,3.4866
882,1277,3.81378
8940,12191,3.85905
8977,12242,4.00154
9014,12293,4.26393
9126,12446,4.62811
137206,186407,4.69495
137471,186764,5.06031
297164,403667,5.39627
884568,1201664,5.48734
1556219,2113952,5.58155
2039775,2770883,5.78
2741092,3723563,5.99309
9236709,12546716,6.47015
36749806,49919159,7.18508
