0,2,1.5201
46,57,1.92186
91,112,2.21449
135,167,2.76508
224,277,2.8271
268,332,3.03106
399,497,3.38367
443,552,3.68005
706,882,3.79073
750,937,3.99077
1147,1432,4.26056
1191,1487,4.35879
1281,1597,4.51493
6856,8582,4.56949
20358,25522,5.12712
26040,32672,5.19759
39244,49227,5.34452
83087,104282,5.42115
174720,219342,5.75095
754946,947212,5.83977
2063258,2590007,6.0259
2681484,3366497,6.32845
2873082,3606737,6.43617
15406917,19334922,6.90639
47035846,59024792,7.30676
49195980,61734697,7.45074
74409292,93368772,7.91885
