0,2,0.850197
45,57,1.17521
89,112,1.66026
132,167,2.11538
176,222,2.36698
219,277,2.50829
263,332,2.61226
306,387,3.03106
350,442,3.10575
394,497,3.15762
438,552,3.29521
481,607,3.38367
525,662,3.44533
569,717,3.57565
702,882,3.7531
1888,2367,3.82911
3500,4402,3.94909
3716,4677,4.03333
3942,4952,4.21309
7733,9737,4.26056
8522,10727,4.35879
8651,10892,4.56949
19570,24697,4.86334
19614,24752,4.99175
19657,24807,5.05853
34779,43947,5.42115
54480,68807,5.58118
66260,83712,5.93137
366496,462992,6.0259
3002105,3788182,6.22428
3812898,4811457,6.43617
7665436,9670817,6.663
9611384,12126952,6.90639
90863872,114681657,7.75641
167947425,211983147,7.91885
