0,2,1.84676
63,57,2.35226
107,112,2.59434
151,167,3.03106
195,222,3.18421
238,277,3.50928
300,332,3.79073
343,387,3.82911
567,662,3.94909
655,772,3.99077
743,882,4.21309
5095,6382,4.40962
6051,7592,4.74138
10842,13642,4.80159
49488,62482,4.99175
65869,83107,5.05853
79217,99937,5.27003
129305,163187,5.5
151115,190687,6.0259
2405566,3039632,6.32845
5181062,6546157,6.43617
6663935,8419952,6.663
38111036,48141282,6.78251
61761511,78030922,7.03488
116440634,147137322,8.44972
116440676,147137377,8.84503
