0,1,1.41223
38,56,1.90252
74,111,2.29514
110,166,2.50829
146,221,2.78545
179,276,2.89197
215,331,2.98323
258,386,3.47701
346,496,3.7531
914,1211,3.79073
1045,1376,4.21309
1523,1981,4.35879
3357,4291,4.46165
4179,5336,4.51493
4440,5666,4.80159
46298,58521,5.05853
244527,308551,5.34452
315258,397816,5.66479
621417,784026,5.93137
1061723,1339801,6.0259
4922890,6211206,6.12348
8409617,10611261,6.22428
13228044,16689696,6.32845
30172413,38069296,6.43617
30901462,38988621,6.54762
38799079,48953411,6.90639
41410998,52248736,7.91885
