0,2,0.846391
46,57,1.17157
91,112,1.53242
135,167,1.94159
178,222,2.2016
222,277,2.44346
265,332,2.89197
308,387,3.38367
351,442,3.71622
569,717,3.99077
2532,3192,4.12125
2619,3302,4.26056
4021,5062,4.30912
4108,5172,4.35879
4152,5227,4.56949
8677,10947,4.74138
14687,18592,5.12712
98804,125017,5.66479
382323,483837,5.75095
726729,920097,5.83977
997585,1263077,5.93137
2973467,3765797,6.43617
29407657,37249797,6.54762
41021428,51960757,6.78251
48144056,60982242,6.90639
53158052,67333147,7.45074
174137572,220562432,8.84503
