0,2,0.970173
45,57,1.53866
89,112,2.18886
132,167,2.93689
176,222,3.08045
264,332,3.21125
308,387,3.35366
535,662,3.38367
578,717,3.50928
926,1157,3.60979
1273,1597,3.90827
2092,2642,3.99077
2136,2697,4.07682
2310,2917,4.30912
2355,2972,4.51493
5179,6547,4.74138
7219,9132,4.92671
28233,35697,4.99175
28277,35752,5.12712
131696,166212,5.5
151993,191842,5.93137
2289528,2887227,6.0259
2782310,3508672,6.22428
4498063,5672757,6.32845
14337747,18083067,6.43617
20182381,25455157,6.90639
46622443,58800612,7.30676
125098366,157769372,7.45074
