0,2,1.08735
46,57,1.43365
90,112,2.10362
134,167,2.57666
178,222,2.87002
222,277,3.08045
266,332,3.15762
310,387,3.18421
397,497,3.26674
743,937,3.64458
786,992,3.82911
875,1102,3.99077
1076,1377,4.07682
1462,1872,4.35879
1505,1927,4.80159
1633,2092,4.99175
5605,7097,5.05853
45784,57807,5.5
153484,193767,5.58118
473811,597907,5.83977
559082,705267,5.93137
605299,763677,6.0259
607045,765877,6.43617
7691384,9696447,6.78251
33758505,42560432,6.90639
68826364,86775482,7.03488
123838477,156132627,7.30676
