0,2,1.05695
45,57,1.54494
90,112,1.99275
134,167,2.54202
178,222,2.74501
222,277,2.95988
266,332,3.29521
310,387,3.54215
484,607,3.60979
528,662,3.7531
571,717,3.82911
1050,1322,4.12125
3536,4457,4.30912
7585,9572,4.56949
14191,17932,4.68266
20004,25302,4.80159
37472,47467,4.99175
46823,59292,5.05853
112529,142617,5.12712
141892,179797,5.58118
587749,744372,6.0259
7194581,9117407,6.32845
13627317,17272147,6.663
21068719,26705747,6.78251
41993052,53236042,6.90639
47675804,60441427,7.03488
96128862,121871862,7.45074
