0,2,0.030297
34,4,1.03791
66,6,1.16012
424,28,1.18984
487,32,1.52462
519,34,1.73632
647,42,1.77422
1142,72,1.78395
1207,76,1.86585
1690,106,1.94395
1723,108,2.00385
3624,226,2.01628
3688,230,2.02886
7703,480,2.12153
7736,482,2.26963
136217,8472,2.28559
136282,8476,2.42179
192721,11992,2.43996
197737,12304,2.57525
279426,17392,2.70374
851143,52976,2.82104
1614560,100438,2.84573
1615369,100488,2.87086
1897939,118034,2.97597
2328067,144732,3.03147
6420232,399224,3.06
9126811,567692,3.4496
25636481,1593656,3.52439
33975344,2111678,3.56301
170726909,10610680,3.60249
