0,2,0.030297
34,4,1.01522
66,6,1.05474
191,14,1.06511
223,16,1.27375
349,24,1.34211
412,28,1.34767
443,30,1.35328
507,34,1.76459
607,40,1.83427
803,52,2.01628
9029,562,2.17839
18401,1144,2.28559
32720,2036,2.30177
43043,2674,2.55501
139321,8666,2.65951
139353,8668,2.70374
213852,13304,2.87086
904343,56222,2.89644
1352912,84094,2.92247
1995761,124050,3.03147
5233025,325274,3.14891
7512267,466752,3.24314
10627236,660286,3.27582
23359477,1450510,3.30916
32325348,2007292,3.37792
67037746,4164670,3.60249
103782634,6449690,4.0514
121176933,7530018,4.15495
