0,2,0.030297
64,8,1.11631
88,10,1.27876
115,12,1.31496
805,56,1.38204
902,62,1.41821
1516,100,1.64829
1549,102,1.7
6212,386,1.72709
14524,900,1.79379
14556,902,2.0808
21446,1330,2.17839
23665,1468,2.19309
23697,1470,2.36885
63590,3954,2.55501
165459,10290,2.6167
452833,28166,2.63793
479375,29816,2.65951
658178,40944,2.68144
974729,60614,3.00346
1859424,115566,3.21111
3800811,236200,3.34319
19642412,1219282,3.37792
20941963,1299844,3.41339
27097752,1681968,3.4496
43716047,2713872,3.60249
60144013,3734808,3.68414
